Item Name,Hash Name,URL,Hero ID,Data Available
Shadow Masquerade,Shadow%20Masquerade,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Shadow%20Masquerade,32,True
Mask of Mortis,Mask%20of%20Mortis,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Mask%20of%20Mortis,43,True
Flutterstep,Flutterstep,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Flutterstep,58,True
Hunter's Hoard,Hunter%27s%20Hoard,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Hunter%27s%20Hoard,62,True
B.U.S.T.E.R,B.U.S.T.E.R,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=B.U.S.T.E.R,72,True
Soul Shredder,Soul%20Shredder,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Soul%20Shredder,69,True
Piscean Pulverizer,Piscean%20Pulverizer,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Piscean%20Pulverizer,100,True
Gimlek Decanter,Gimlek%20Decanter,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Gimlek%20Decanter,84,True
Pale Augur,Pale%20Augur,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Pale%20Augur,85,True
Judgement of the Fallen,Judgement%20of%20the%20Fallen,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Judgement%20of%20the%20Fallen,7,True
Mask of Metira,Mask%20of%20Metira,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Mask%20of%20Metira,9,True
Golden Scavenging Guttleslug,Golden%20Scavenging%20Guttleslug,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Scavenging%20Guttleslug,14,True
Golden Moonfall,Golden%20Moonfall,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Moonfall,48,True
Fetters of Omniscience of the Crimson Witness,Fetters%20of%20Omniscience%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Fetters%20of%20Omniscience%20of%20the%20Crimson%20Witness,57,True
Sullen Hollow,Sullen%20Hollow,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Sullen%20Hollow,36,True
Codicil of the Veiled Ones,Codicil%20of%20the%20Veiled%20Ones,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Codicil%20of%20the%20Veiled%20Ones,44,True
Empyrean,Empyrean,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Empyrean,101,True
Taunt: The Royal Raspberry,Taunt%3A%20The%20Royal%20Raspberry,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Taunt%3A%20The%20Royal%20Raspberry,20,True
Crucible of Rile,Crucible%20of%20Rile,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Crucible%20of%20Rile,2,True
Chalice of Ix'yxa,Chalice%20of%20Ix%27yxa,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Chalice%20of%20Ix%27yxa,45,True
Claws of Nuranu,Claws%20of%20Nuranu,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Claws%20of%20Nuranu,80,True
Bitter Lineage,Bitter%20Lineage,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Bitter%20Lineage,95,True
Twilight Schism of the Crimson Witness,Twilight%20Schism%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Twilight%20Schism%20of%20the%20Crimson%20Witness,48,True
Masque of Awaleb,Masque%20of%20Awaleb,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Masque%20of%20Awaleb,30,True
Provocation of Ruin,Provocation%20of%20Ruin,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Provocation%20of%20Ruin,8,True
Immortal Pantheon of the Crimson Witness,Immortal%20Pantheon%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Immortal%20Pantheon%20of%20the%20Crimson%20Witness,22,True
Sylvan Vedette,Sylvan%20Vedette,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Sylvan%20Vedette,21,True
Crimson Latticean Hierarchy,Crimson%20Latticean%20Hierarchy,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Crimson%20Latticean%20Hierarchy,88,True
Golden Bloodfeather Feast,Golden%20Bloodfeather%20Feast,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Bloodfeather%20Feast,39,True
Golden Deepshock Destroyer,Golden%20Deepshock%20Destroyer,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Deepshock%20Destroyer,29,True
Bloodfeather Feast,Bloodfeather%20Feast,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Bloodfeather%20Feast,39,True
Leviathan Whale Blade,Leviathan%20Whale%20Blade,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Leviathan%20Whale%20Blade,23,True
Origin of the Unmaking,Origin%20of%20the%20Unmaking,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Origin%20of%20the%20Unmaking,3,True
Eyes of Ardenok of the Crimson Witness,Eyes%20of%20Ardenok%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Eyes%20of%20Ardenok%20of%20the%20Crimson%20Witness,97,True
Dark Artistry Belt,Dark%20Artistry%20Belt,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Dark%20Artistry%20Belt,74,True
Blade of Tears,Blade%20of%20Tears,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Blade%20of%20Tears,10,True
Thirst of Eztzhok - Off-Hand,Thirst%20of%20Eztzhok%20-%20Off-Hand,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Thirst%20of%20Eztzhok%20-%20Off-Hand,4,True
Taunt: To Hell and Back!,Taunt%3A%20To%20Hell%20and%20Back%21,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Taunt%3A%20To%20Hell%20and%20Back%21,26,True
Masque of Awaleb Bundle,Masque%20of%20Awaleb%20Bundle,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Masque%20of%20Awaleb%20Bundle,30,True
Awaleb's Trundleweed,Awaleb%27s%20Trundleweed,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Awaleb%27s%20Trundleweed,30,True
The Hallows Within Bundle,The%20Hallows%20Within%20Bundle,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=The%20Hallows%20Within%20Bundle,85,True
Grasping Bludgeon,Grasping%20Bludgeon,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Grasping%20Bludgeon,28,True
Mace of the Chosen,Mace%20of%20the%20Chosen,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Mace%20of%20the%20Chosen,102,True
Bracers of Forlorn Precipice,Bracers%20of%20Forlorn%20Precipice,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Bracers%20of%20Forlorn%20Precipice,55,True
Insight of Forlorn Precipice,Insight%20of%20Forlorn%20Precipice,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Insight%20of%20Forlorn%20Precipice,55,True
